urlId,keywordId
68,25708
68,25882
68,26292
68,26643
68,26888
68,27253
69,273
70,6993
70,21693
71,17545
72,3738
72,23368
73,3738
74,13625
75,17545
76,361
76,2007
76,5508
76,6410
76,10062
76,13297
76,15865
76,20106
76,20714
76,24630
76,27444
77,7395
78,19860
79,6439
79,7499
79,10336
79,12059
79,13766
79,15506
79,16522
79,24203
79,25031
79,25458
80,3206
80,11384
81,24507
82,19251
83,26174
84,6167
84,19365
85,3334
86,10326
86,20833
86,23204
87,8320
88,13907
89,5008
89,5617
89,5874
89,13175
89,21364
90,900
90,19713
91,8745
91,12196
92,22122
93,3448
93,4545
93,14012
94,8366
95,24761
96,17325
97,11336
97,18741
97,23445
98,7501
99,374
99,22951
100,22951
101,13248
101,15921
102,6725
103,9366
104,14540
105,14540
106,4744
107,5843
107,16587
107,23891
108,4218
108,8669
109,25870
110,1347
111,9143
112,12802
113,6530
113,6810
113,9111
113,17846
113,19054
114,9807
114,15397
115,9307
115,18618
116,14110
116,18502
116,26052
117,391
117,1191
117,1229
117,1484
117,2911
117,3388
117,4245
117,7830
117,8558
117,8576
117,8583
117,8742
117,9041
117,9284
117,10913
117,11041
117,12529
117,13387
117,14015
117,14235
117,14256
117,14650
117,15532
117,15964
117,16162
117,16593
117,17663
117,17769
117,18369
117,18676
117,19863
117,20222
117,21681
117,22082
117,22904
117,24452
117,24826
117,24978
117,25100
117,25101
117,25534
117,27209
118,1320
118,5991
118,13228
118,15872
118,24128
119,4029
120,759
120,3425
120,5801
120,6516
120,6542
120,14401
120,14656
120,17678
120,17737
120,19261
120,21323
120,21981
120,23717
121,1729
121,8150
121,8288
121,9540
121,17151
121,17285
121,23208
122,8099
122,10330
122,18258
122,21835
123,25256
124,18544
125,13359
125,19566
126,7956
126,21869
126,24413
127,444
127,1019
127,4223
127,8694
127,14003
127,16461
127,18399
128,7316
128,7854
128,8040
128,18684
129,1982
129,2140
129,2692
129,3295
129,6746
129,7878
129,10356
129,11926
129,13106
129,13774
129,22257
129,23011
129,23835
129,24403
130,830
130,970
130,2694
130,5125
130,6571
130,10005
130,11746
130,12412
130,13215
130,13297
130,14352
130,14526
130,17552
130,18583
130,18865
130,19951
130,20642
130,20714
130,21342
130,21944
130,25285
130,26548
130,27302
130,27350
130,27444
131,5745
131,11671
132,79
132,671
132,909
132,2587
132,3572
132,3934
132,4597
132,6043
132,6597
132,6845
132,7660
132,10691
132,11346
132,11772
132,12099
132,15425
132,19849
132,21928
132,22661
132,26431
133,4248
134,19251
135,14683
136,11778
137,2213
137,12037
138,5175
139,5985
139,11673
140,5985
140,11673
140,13401
140,23519
141,5985
141,11673
142,11837
143,13150
144,4690
145,5499
145,5789
145,6001
145,10817
145,11265
145,12965
145,16434
145,20722
145,21574
145,22977
145,24931
145,26446
145,26579
145,26613
146,12379
147,7274
147,9471
147,23933
148,64
148,98
148,128
148,298
148,309
148,693
148,1016
148,1057
148,1146
148,1439
148,1492
148,1705
148,1846
148,1966
148,2297
148,2870
148,3038
148,3267
